District Name,Town,County
District 39,Norwood,Bergen
District 28,Nutley,Essex
District 39,Oakland,Bergen
District 6,Oaklyn Borough,Camden
District 1,Ocean City,Cape May
District 9,Ocean Gate,Ocean
District 11,Ocean,Monmouth
District 9,Ocean,Ocean
District 13,Oceanport,Monmouth
District 24,Ogdensburg,Sussex
District 12,Old Bridge,Middlesex
District 39,Old Tappan,Bergen
District 3,Oldmans,Salem
District 38,Oradell,Bergen
District 34,City of Orange,Essex
District 24,Oxford,Warren
District 37,Palisades Park,Bergen
District 7,Palmyra,Burlington
District 38,Paramus,Bergen
District 39,Park Ridge,Bergen
District 26,Parsippany-Troy Hills,Morris
District 36,Passaic,Passaic
District 35,Paterson,Passaic
District 3,Paulsboro,Gloucester
District 23,Peapack - Gladstone,Somerset
District 8,Pemberton Borough,Burlington
District 8,Pemberton Township,Burlington
District 15,Pennington,Mercer
District 3,Penns Grove,Salem
District 6,Pennsauken,Camden
District 3,Pennsville,Salem
District 40,Pequannock,Morris
District 19,Perth Amboy,Middlesex
District 23,Phillipsburg,Warren
District 3,Pilesgrove,Salem
District 9,Pine Beach,Ocean
District 8,Pine Hill,Camden
District 8,Pine Valley,Camden
District 17,Piscataway,Middlesex
District 4,Pitman,Gloucester
District 3,Pittsgrove,Salem
District 22,Plainfield,Union
District 14,Plainsboro,Middlesex
District 2,Pleasantville,Atlantic
District 12,Plumsted,Ocean
District 23,Pohatcong,Warren
District 30,Point Pleasant Beach,Ocean
District 10,Point Pleasant,Ocean
District 40,Pompton Lakes,Passaic
District 9,Port Republic,Atlantic
District 16,Princeton Township,Mercer
District 35,Prospect Park,Passaic
District 3,Quinton,Salem
District 22,Rahway,Union
District 39,Ramsey,Bergen
District 25,Randolph,Morris
District 16,Raritan,Hunterdon
District 23,Raritan,Somerset
District 16,Readington,Hunterdon
District 11,Red Bank,Monmouth
District 36,Ridgefield Park,Bergen
District 36,Ridgefield,Bergen
District 40,Ridgewood,Bergen
District 39,Ringwood,Passaic
District 38,River Edge,Bergen
District 39,River Vale,Bergen
District 40,Riverdale,Morris
District 7,Riverside,Burlington
District 7,Riverton,Burlington
District 14,Robbinsville ,Mercer 
District 38,Rochelle Park,Bergen
District 25,Rockaway Borough,Morris
District 26,Rockaway Township,Morris
District 37,Rockleigh,Bergen
District 16,Rocky Hill,Somerset
District 12,Roosevelt,Monmouth
District 27,Roseland,Essex
District 20,Roselle Park,Union
District 21,Roselle,Union
District 25,Roxbury,Morris
District 13,Rumson,Monmouth
District 5,Runnemede,Camden
District 36,Rutherford,Bergen
District 38,Saddle Brook,Bergen
District 39,Saddle River,Bergen
District 3,Salem,Salem
District 24,Sandyston,Sussex
District 19,Sayreville,Middlesex
District 22,Scotch Plains,Union
District 13,Sea Bright,Monmouth
District 30,Sea Girt,Monmouth
District 1,Sea Isle City,Cape May
District 10,Seaside Heights,Ocean
District 9,Seaside Park,Ocean
District 32,Secaucus,Hudson
District 8,Shamong,Burlington
District 1,Shiloh,Cumberland
District 9,Ship Bottom,Ocean
District 11,Shrewsbury Borough,Monmouth
District 11,Shrewsbury Township,Monmouth
District 6,Somerdale,Camden
District 2,Somers Point,Atlantic
District 16,Somerville,Somerset
District 19,South Amboy,Middlesex
District 23,South Bound Brook,Somerset
District 16,South Brunswick,Middlesex
District 36,South Hackensack,Bergen
District 3,South Harrison,Gloucester
District 27,Village of South Orange,Essex
District 18,South Plainfield,Middlesex
District 18,South River,Middlesex
District 9,South Toms River,Ocean
District 8,Southampton,Burlington
District 24,Sparta,Sussex
District 14,Spotswood,Middlesex
District 30,Spring Lake Heights,Monmouth
District 30,Spring Lake Boro,Monmouth
District 8,Springfield,Burlington
District 21,Springfield,Union
District 9,Stafford,Ocean
District 24,Stanhope,Sussex
District 24,Stillwater,Sussex
District 16,Stockton,Hunterdon
District 1,Stone Harbor,Cape May
District 1,Stow Creek,Cumberland
District 6,Stratford,Camden
District 21,Summit,Union
District 9,Surf City,Ocean
District 24,Sussex,Sussex
District 3,Swedesboro,Gloucester
District 9,Tabernacle,Burlington
District 6,Tavistock,Camden
District 37,Teaneck,Bergen
District 37,Tenafly,Bergen
District 36,Teterboro,Bergen
District 23,Tewksbury,Hunterdon
District 11,Tinton Falls,Monmouth
District 10,Toms River ,Ocean 
District 40,Totowa,Passaic
District 15,Trenton,Mercer
District 9,Tuckerton,Ocean
District 23,Union Beach,Monmouth
District 20,Union City,Hudson
District 13,Union,Hunterdon
District 33,Union,Union
District 1,Upper,Cape May
District 3,Upper Deerfield,Cumberland
District 12,Upper Freehold,Monmouth
District 3,Upper Pittsgrove,Salem
District 39,Upper Saddle River,Bergen
District 2,Ventnor City,Atlantic
District 24,Vernon,Sussex
District 26,Verona,Essex
District 25,Victory Gardens,Morris
District 1,Vineland,Cumberland
District 6,Voorhees,Camden
District 40,Waldwick,Bergen
District 30,Wall,Monmouth
District 36,Wallington,Bergen
District 24,Walpack,Sussex
District 39,Wanaque,Passaic
District 24,Wantage,Sussex
District 21,Warren,Somerset
District 39,Washington,Bergen
District 9,Washington Borough,Warren
District 4,Washington,Burlington
District 25,Washington,Gloucester
District 23,Washington,Morris
District 23,Washington Township,Warren
District 21,Watchung,Somerset
District 8,Waterford,Camden
District 40,Wayne,Passaic
District 33,Weehawken,Hudson
District 5,Wenonah,Gloucester
District 15,West Amwell,Hunterdon
District 26,West Caldwell,Essex
District 1,West Cape May,Cape May
District 3,West Deptford,Gloucester
District 11,West Long Branch,Monmouth
District 26,West Milford,Passaic
District 32,West New York,Hudson
District 27,West Orange,Essex
District 1,West Wildwood,Cape May
District 15,West Windsor,Mercer
District 8,Westampton,Burlington
District 21,Westfield,Union
District 5,Westville,Gloucester
District 39,Westwood,Bergen
District 1,Weymouth,Atlantic
District 25,Wharton,Morris
District 24,White,Warren
District 1,Wildwood,Cape May
District 1,Wildwood Crest,Cape May
District 7,Willingboro,Burlington
District 22,Winfield,Union
District 4,Winslow,Camden
District 36,Woodbine,Cape May
District 1,Woodbridge,Middlesex
District 19,Woodbury,Gloucester
District 5,Woodbury Heights,Gloucester
District 3,Woodcliff Lake,Bergen
District 39,Woodland,Burlington
District 8,Woodland Park ,Passaic
District 40,Woodlynne,Camden
District 5,Wood-Ridge,Bergen
District 3,Woodstown,Salem
District 3,Woolwich,Gloucester
District 12,Wrightstown,Burlington
District 40,Wyckoff,Bergen
